gene_synonym	gene_name
FAM73B	MIGA2
PPP2R4	PTPA
PPAPDC3	PLPP7
C9orf171	CFAP77
C9orf9	SPACA9
TMEM8C	MYMK
LINC00094	BRD3OS
C9orf69	TMEM250
SDCCAG3	ENTR1
FAM69B	DIPK1B
SNORA43	SNORA17B
SNORA17	SNORA17A
C9orf172	AJM1
C9orf142	PAXX
MAN1B1-AS1	MAN1B1-DT
C9orf169	CYSRT1
C9orf173	STPG3
C9orf37	ARRDC1-AS1
EHMT1-IT1	EHMT1
ARSE	ARSL
CXorf28	LINC01546
HDHD1	PUDP
KAL1	ANOS1
FIGF	VEGFD
TMEM27	CLTRN
GPR64	ADGRG2
CXorf23	BCLAF3
ZNF645	CBLL2
SMEK3P	PPP4R3C
CXorf22	CFAP47
CHDC2	CFAP47
CXorf30	CFAP47
FTH1P18	FTHL18
HYPM	H2AP
PPP1R2P9	PPP1R2C
CXorf36	DIPK2B
CXorf31	LINC01545
SSX6	SSX6P
SSX9	SSX9P
GAGE4	GAGE1
GAGE7	GAGE12F
CENPVP1	CENPVL1
CENPVP2	CENPVL2
XAGE2B	XAGE2
XAGE1E	XAGE1B
SSX8	SSX8P
ACRC	GCNA
RGAG4	RTL5
LINC00684	FAM236A
NAP1L6	NAP1L6P
KIAA2022	NEXMIF
ZCCHC5	RTL3
FAM46D	TENT5D
TMEM35	TMEM35A
WBP5	TCEAL9
NGFRAP1	BEX3
H2BFXP	H2BW4P
H2BFWT	H2BW1
H2BFM	H2BW2
MUM1L1	PWWP3B
CXorf57	RADX
KCNE1L	KCNE5
RGAG1	RTL9
LINC00890	SERTM2
ZCCHC16	RTL4
SEPT6	SEPTIN6
MST4	STK26
FAM127C	RTL8B
FAM127A	RTL8C
FAM127B	RTL8A
LINC00633	ETDB
DDX26B-AS1	INTS6L-AS1
DDX26B	INTS6L
GPR112	ADGRG4
LINC00889	FGF13
TMEM257	SLITRK2
FAM58A	CCNQ
H2AFB2	H2AB2
H2AFB1	H2AB1
H2AFB3	H2AB3
NCRNA00185	TTTY14
SLC35E2	SLC35E2B
FAM213B	PRXL2B
APITD1	CENPS-CORT
C1orf213	ZNF436-AS1
ATPIF1	ATP5IF1
SARS	SARS1
NOTCH2NL	NOTCH2NLA
HIST3H3	H3-4
HIST3H2A	H2AW
HIST3H2BB	H2BU1
SEPT7P9	SEPTIN7P9
MARCH8	MARCHF8
CTGLF12P	AGAP12P
FAM21A	WASHC2C
DUX2	DUX4L8
C11orf35	LMNTD2
CARS	CARS1
B3GNT1	B3GNT2
TRIM49D2P	TRIM49D1
LOH12CR1	BORCS5
FAM60A	SINHCAF
XRCC6BP1	ATP23
EP400NL	EP400P1
LRRC16B	CARMIL3
C14orf142	GON7
LINC00521	CCDC197
KIAA0125	FAM30A
GOLGA8I	GOLGA8IP
GOLGA6L7P	GOLGA6L7
NDNL2	NSMCE3
DKFZP434L187	LINC02249
C15orf38	ARPIN-AP3S2
C16orf45	BMERB1
KIAA0430	MARF1
C16orf52	MOSMO
CIRH1A	UTP4
FAM101B	RFLNB
C17orf74	SPEM2
C17orf96	EPOP
CRHR1-IT1	LINC02210
SEPT9	SEPTIN9
FAM195B	MCRIP1
TCEB3CL	ELOA3C
TCEB3C	ELOA3B
LPHN1	ADGRL1
CD97	ADGRE5
CGB	CGB3
LIMS3L	LIMS3
SEPT2	SEPTIN2
C21orf49	C21orf62-AS1
GSTTP1	GSTT4
FAM109B	PHETA2
NDUFA6-AS1	NDUFA6-DT
CYP2D7P	CYP2D7
CPEB2-AS1	CPEB2-DT
SYT14L	SYT14P1
TMEM173	STING1
C5orf45	MRNIP
HIST1H2BC	H2BC4
HIST1H2BE	H2BC5
HIST1H2BF	H2BC5
HIST1H2BG	H2BC5
HIST1H2BI	H2BC5
C6orf100	LINC01556
ZNRD1-AS1	ZNRD1ASP
HCG8	ZNRD1ASP
DPCR1	MUCL3
C6orf25	MPIG6B
C6orf48	SNHG32
C6orf10	TSBP1
TAPSAR1	PSMB8-AS1
PMS2L2	PMS2P6
C7orf55	FMC1
KIAA1147	DENND11
C7orf34	LLCFC1
FAM115D	TCAF2P1
FAM115A	TCAF1
ERICH1-AS1	DLGAP2
DEFB109P1B	DEFB109B
USP17L1P	USP17L1
SGK223	PRAG1
C8orf12	FAM167A-AS1
DEFB130	DEFB130A
KIAA1456	TRMT9B
NAPRT1	NAPRT
PYCRL	PYCR3
LPPR1	PLPPR1
C9orf96	STKLD1
RNA45S5	RNA45SN4
RNA5-8S5	RNA5-8SN4
DUX4L	DUX4
LINC00087	SMIM10L2B
LINC00086	SMIM10L2B
CT45A4	CT45A3
