gene_name	mean_length	median_length	max_length
TNFRSF14-AS1	1772.6666666666667	1218.5	3608
TNFRSF14	1266.75	884.0	4255
AL139246.2	1297.0	1297.0	1297
AL139246.3	626.0	626.0	626
PRXL2B	1653.7333333333333	1096.0	2827
MMEL1	1157.5555555555557	554.0	2879
MMEL1-AS1	373.0	373.0	373
TTC34	5294.5	5294.5	8814
AC242022.2	593.0	593.0	593
AC242022.1	1565.0	1565.0	1565
AL592464.2	607.0	607.0	607
AL592464.3	663.0	663.0	663
AL592464.1	429.0	429.0	429
AL589702.1	1325.5	1325.5	1509
ACTRT2	1437.0	1437.0	1437
PRDM16-DT	1658.4	1486.0	4247
PRDM16	3278.7	3730.0	8698
MIR4251	61.0	61.0	61
AL008733.1	469.0	469.0	469
AL512383.1	2677.0	2677.0	2677
AL590438.1	3461.0	3461.0	3461
AL354743.2	728.0	728.0	728
AL354743.1	2784.0	2784.0	2784
ARHGEF16	1772.4285714285713	2211.0	2822
AL512413.1	382.0	382.0	382
MEGF6	2838.1428571428573	1174.0	7443
MIR551A	96.0	96.0	96
AL513320.1	622.0	622.0	622
TPRG1L	2295.0	2295.0	2401
WRAP73	1464.4	859.5	6089
TP73	2879.5	2089.5	5192
AL136528.1	754.0	754.0	754
AL136528.2	351.0	351.0	351
TP73-AS1	2556.5172413793102	2529.0	6358
AL136528.3	161.0	161.0	161
CCDC27	2354.0	2252.0	2685
SMIM1	487.25	478.0	547
LRRC47	1770.6666666666667	575.0	4303
RN7SL574P	297.0	297.0	297
AL365330.1	531.0	531.0	531
CEP104	1337.4545454545455	696.0	6431
DFFB	2192.9166666666665	2882.5	3152
C1orf174	2553.6666666666665	2517.0	3499
LINC01134	1542.75	1287.0	3059
LINC01346	1602.5	1304.5	3242
LINC01345	1321.75	1327.5	1646
LINC02780	852.0	758.0	1258
AL805961.1	4817.0	4817.0	4817
EEF1DP6	372.0	372.0	372
LINC01777	1309.076923076923	1347.0	2077
AL355602.1	3402.0	3402.0	3402
Z98747.1	356.0	356.0	356
LINC01646	1057.625	1101.5	1531
AJAP1	4927.666666666667	2383.0	12102
Z98886.1	2992.0	2992.0	3030
BX005132.1	464.0	464.0	464
LINC02781	1580.0	1580.0	1580
LINC02782	449.0	449.0	449
AL139823.1	1225.0	1225.0	1225
Z98259.3	1239.6666666666667	830.0	2210
Z98259.2	609.0	609.0	609
Z98259.1	1697.0	1697.0	1697
Z97988.2	135.0	135.0	135
AL365255.1	605.0	605.0	847
Z97988.1	73.0	73.0	73
MIR4689	70.0	70.0	70
NPHP4	3293.0	3967.0	5548
KCNAB2	2099.125	1229.0	5979
CHD5	3910.0	3720.0	9850
AL031847.2	663.0	663.0	663
RPL22	1080.5714285714287	786.0	2279
AL031847.1	378.0	378.0	378
RNF207	1377.888888888889	612.0	3981
ICMT	2240.5	1919.5	4795
LINC00337	1493.3333333333333	1302.0	2040
HES3	710.0	710.0	710
GPR153	4198.0	4198.0	4198
ACOT7	1514.7	1518.0	2429
AL031848.2	837.0	837.0	837
HES2	1339.6666666666667	849.0	4262
ESPN	1144.1764705882354	661.0	4731
MIR4252	63.0	63.0	63
AL031848.1	351.0	351.0	351
TNFRSF25	1230.2857142857142	1087.0	3483
PLEKHG5	4172.923076923077	4375.0	5221
NOL9	1873.4	731.0	6627
RNU6-731P	111.0	111.0	111
AL591866.1	401.0	401.0	401
TAS1R1	1796.5	1841.0	2764
ZBTB48	1430.0	1025.5	2484
KLHL21	2570.6666666666665	1500.5	6445
PHF13	2215.0	2215.0	3632
THAP3	1030.875	931.0	2053
DNAJC11	1321.0	755.0	3201
LINC01672	752.1666666666666	591.0	1686
AL591163.1	987.0	987.0	987
CAMTA1-DT	415.0	415.0	415
CAMTA1	1345.875	689.0	8314
AL590128.1	286.0	286.0	286
AL512330.1	349.0	349.0	349
RNU1-8P	165.0	165.0	165
CAMTA1-IT1	365.0	365.0	365
CAMTA1-AS2	412.0	412.0	433
CAMTA1-AS1	361.0	361.0	361
AL359881.3	1721.0	1721.0	1721
AL359881.2	570.0	570.0	570
AL359881.1	267.0	267.0	267
VAMP3	1135.3333333333333	954.0	2178
Z98884.2	393.0	393.0	393
PER3	3291.8888888888887	1524.0	6318
Z98884.1	830.0	830.0	830
UTS2	860.0	559.0	1601
TNFRSF9	2230.5	1253.5	5970
AL009183.1	355.0	355.0	355
PARK7	829.1	789.0	1127
AL034417.1	103.0	103.0	103
AL034417.5	2168.5	2168.5	2236
AL034417.4	1043.0	1043.0	1043
ERRFI1	1491.0	995.0	3097
AL034417.3	2044.0	2044.0	2044
AL034417.2	800.0	800.0	800
AL358876.1	1075.0	1075.0	1075
LINC01714	692.0	683.0	896
RNU1-7P	164.0	164.0	164
AL358876.2	477.0	477.0	477
RNU6-991P	107.0	107.0	107
SLC45A1	1906.5	2074.0	2784
AL356072.1	113.0	113.0	113
RERE	2278.85	691.0	8026
RERE-AS1	669.0	516.0	1052
AL096855.1	125.0	125.0	125
AL096855.2	369.0	369.0	369
RPL7P11	658.0	658.0	658
RPL7P7	703.0	703.0	703
AL357552.1	103.0	103.0	103
AL357552.2	415.0	415.0	415
AL357552.3	353.0	353.0	353
RPL23AP19	369.0	369.0	369
ENO1	1066.25	642.0	2548
MIR6728	89.0	89.0	89
ENO1-AS1	456.0	456.0	456
RNU6-304P	107.0	107.0	107
HMGN2P17	743.0	743.0	743
AL139415.1	352.0	352.0	352
AL139415.2	163.0	163.0	163
CA6	980.8333333333334	864.5	1493
RN7SL451P	299.0	299.0	299
SLC2A7	1539.0	1539.0	1539
SLC2A5	1201.4	756.5	4085
AL158048.1	184.0	184.0	184
GPR157	1951.0	458.0	5197
MIR34AHG	2710.25	2987.5	4457
MIR34A	110.0	110.0	110
LNCTAM34A	927.3333333333334	956.5	1265
H6PD	5812.333333333333	5590.0	9146
SPSB1	1593.5	1223.0	3106
BX323043.1	1765.0	1765.0	1765
LINC02606	1254.3333333333333	839.0	2442
RNA5SP40	110.0	110.0	110
AL928921.1	708.0	708.0	708
SLC25A33	3865.0	3865.0	3865
AL954705.1	559.0	559.0	559
TMEM201	2512.0	3447.0	3851
PIK3CD	3103.625	3505.5	5483
PIK3CD-AS1	1823.0	1823.0	1823
AL691449.1	421.0	421.0	421
PIK3CD-AS2	939.0	939.0	939
CLSTN1	3404.1666666666665	4143.0	4760
MZT1P1	246.0	246.0	246
AL357140.3	1316.0	1316.0	1983
CTNNBIP1	1378.75	1029.0	3006
AL357140.1	424.0	424.0	424
AL357140.4	762.0	762.0	762
LZIC	1695.6	945.0	4989
AL357140.2	440.0	440.0	440
NMNAT1	1529.0	1094.0	3734
RN7SKP269	319.0	319.0	319
TMEM274P	444.0	444.0	444
MIR5697	78.0	78.0	78
AL603962.1	436.0	436.0	436
RBP7	743.0	743.0	861
UBE4B	2356.6	1050.0	6184
AL590639.1	337.0	337.0	337
PGAM1P11	680.0	680.0	680
RNU6-828P	107.0	107.0	107
KIF1B	4784.846153846154	5885.0	10669
AL358013.1	86.0	86.0	86
RNU6-37P	107.0	107.0	107
RN7SL731P	293.0	293.0	293
AL139424.3	902.6666666666666	917.0	1392
AL139424.2	870.0	906.0	1369
PGD	790.5	661.0	2268
AL139424.1	797.0	797.0	797
CENPS-CORT	897.2	626.0	1469
CENPS	679.8	684.0	914
CORT	1130.0	1130.0	1130
DFFA	2727.3333333333335	1403.0	6035
AL354956.1	467.0	467.0	467
PEX14	903.5	721.0	1922
AL139423.2	2876.0	2876.0	2876
RN7SL614P	280.0	280.0	280
CASZ1	2272.0	695.0	7934
AL139423.1	7923.0	7923.0	7923
HSPE1P24	238.0	238.0	238
C1orf127	2020.4	2359.0	2761
CFL1P6	494.0	494.0	494
TARDBP	1044.34375	800.0	5367
AL109811.3	891.0	700.0	1793
MASP2	1453.5	1458.0	2455
AL109811.2	760.5	760.5	870
SRM	668.3333333333334	578.0	1260
EXOSC10	1208.5454545454545	608.0	2796
AL109811.1	2682.0	2682.0	2682
EXOSC10-AS1	463.5	463.5	487
MTOR	2624.4285714285716	1111.0	8721
MTOR-AS1	689.0	689.0	705
RNU6-537P	103.0	103.0	103
ANGPTL7	1415.5	1415.5	2224
RNU6-291P	107.0	107.0	107
RPL39P6	150.0	150.0	150
UBIAD1	1673.75	1112.0	3646
UBE2V2P3	437.0	437.0	437
AL031291.1	742.0	742.0	742
MTCYBP45	565.0	565.0	565
DISP3	2556.6666666666665	1495.0	5265
AL590989.1	1051.0	1051.0	1051
LINC01647	1351.0	1351.0	1351
AL031731.1	2094.0	2094.0	2094
FBXO2	945.3333333333334	749.5	2215
FBXO44	1596.0	994.0	3320
FBXO6	1058.3333333333333	928.0	1444
MAD2L2	1034.888888888889	1002.0	1860
DRAXIN	7365.0	7365.0	7365
AGTRAP	912.8571428571429	930.5	1130
C1orf167	2100.4285714285716	1881.0	4545
C1orf167-AS1	1868.0	1868.0	1868
MTHFR	3035.7368421052633	2387.0	8378
CLCN6	2370.6	1047.0	5631
AL021155.3	173.0	173.0	173
AL021155.4	149.0	149.0	149
NPPA	810.6666666666666	849.0	855
AL021155.2	108.0	108.0	108
NPPB	708.0	708.0	708
AL021155.1	2637.0	2637.0	2637
AL021155.5	1000.5	855.5	1715
RNU5E-1	120.0	120.0	120
RNU5E-4P	120.0	120.0	120
KIAA2013	2509.3333333333335	2539.0	2819
PLOD1	1182.7777777777778	871.0	2976
AL096840.3	595.0	595.0	595
MFN2	1801.8333333333333	567.0	4531
AL096840.2	93.0	93.0	93
MIIP	1111.0	955.0	1709
AL096840.1	113.0	113.0	113
MIR6729	65.0	65.0	65
RN7SL649P	275.0	275.0	275
TNFRSF8	2849.6	2412.0	3760
RNU6-777P	104.0	104.0	104
RPL23AP89	255.0	255.0	255
AL357835.1	1196.0	1196.0	1196
MIR7846	96.0	96.0	96
TNFRSF1B	2059.0	2070.0	3687
MIR4632	61.0	61.0	61
RPL10P17	316.0	316.0	316
AL031276.1	124.0	124.0	124
VPS13D	3933.8	1303.0	16357
SNORA59A	152.0	152.0	152
LINC02766	438.0	438.0	438
DHRS3	1150.5	931.0	2201
RNU6ATAC18P	101.0	101.0	101
MIR6730	67.0	67.0	67
AC254633.1	345.0	345.0	345
AADACL4	1575.0	1575.0	1575
AC244670.1	112.0	112.0	112
AADACL3	3943.5	3943.5	4055
C1orf158	1661.0	724.0	3564
PRAMEF12	1786.0	1786.0	1786
PRAMEF1	1743.5	1743.5	2160
LINC01784	378.0	378.0	378
PRAMEF11	1845.0	1845.0	1845
PRAMEF30P	1417.0	1417.0	1417
HNRNPCL1	1108.0	1108.0	1108
PRAMEF2	1642.0	1642.0	1642
PRAMEF4	1840.0	1840.0	1840
PRAMEF10	1525.0	1525.0	1525
PRAMEF7	1576.0	1576.0	1592
RNU6-1072P	107.0	107.0	107
PRAMEF29P	1139.0	1139.0	1139
PRAMEF6	1720.0	1720.0	1720
PRAMEF28P	1450.0	1450.0	1450
PRAMEF27	1863.0	1863.0	1863
HNRNPCL3	1148.0	1148.0	1148
PRAMEF25	1851.5	1851.5	1863
PRAMEF34P	1447.0	1447.0	1447
PRAMEF35P	891.0	891.0	891
HNRNPCL2	1156.0	1156.0	1156
PRAMEF36P	1059.5	1059.5	1452
AC245056.1	384.0	384.0	384
PRAMEF26	1863.0	1863.0	1863
HNRNPCL4	882.0	882.0	882
PRAMEF9	1863.0	1863.0	1863
PRAMEF13	1747.0	1747.0	2163
PRAMEF18	2067.0	2067.0	2067
PRAMEF31P	1371.0	1371.0	1371
PRAMEF5	1720.0	1720.0	1720
PRAMEF32P	1068.0	1068.0	1068
RNU6-771P	107.0	107.0	107
PRAMEF8	1714.0	1706.0	1844
PRAMEF33	1518.0	1518.0	1518
PRAMEF15	1865.0	1865.0	1865
AC243961.1	384.0	384.0	384
PRAMEF14	1748.0	1748.0	2164
PRAMEF19	1440.0	1440.0	1440
PRAMEF17	1578.0	1578.0	1578
PRAMEF20	1549.5	1549.5	1597
LRRC38	2168.0	2168.0	2168
AL354712.1	477.0	477.0	477
BRWD1P1	371.0	371.0	371
PDPN	1517.25	1077.0	3104
RNA5SP41	101.0	101.0	101
AL359771.1	379.0	379.0	379
AL359771.2	130.0	130.0	130
PRDM2	2571.0714285714284	681.5	7957
KAZN	3418.1111111111113	3643.0	6874
RNU6-1265P	103.0	103.0	103
AL357873.1	976.0	976.0	1239
KAZN-AS1	1174.0	1227.0	1404
TBCAP2	326.0	326.0	326
AL031293.1	1453.0	1453.0	1453
TMEM51-AS1	4038.0	3023.0	7100
TMEM51	1704.1666666666667	1852.0	1971
C1orf195	348.0	348.0	441
AL035405.1	710.0	710.0	710
AL391094.1	966.0	966.0	966
FHAD1	1787.0	1327.0	5090
FHAD1-AS1	3105.0	3105.0	3105
AL031283.2	727.0	727.0	727
AL031283.1	3266.5	3266.5	5178
EFHD2	1660.5	1660.5	2422
CTRC	1891.25	1891.5	3482
CELA2A	677.6666666666666	585.0	916
CELA2B	635.5	625.0	915
CASP9	1545.5454545454545	1111.0	4463
DNAJC16	2903.4	2602.0	6299
SCARNA21B	140.0	140.0	140
AL121992.3	346.0	346.0	346
AGMAT	3095.0	3095.0	3095
AL121992.1	2845.0	2845.0	2845
CHCHD2P6	447.0	447.0	447
RNU7-179P	68.0	68.0	68
CD24P1	225.0	225.0	225
DDI2	2659.6666666666665	1063.0	10667
RSC1A1	1854.0	1854.0	1854
AL121992.2	256.0	256.0	256
PLEKHM2	2695.8	3775.0	4134
AL450998.3	694.6666666666666	684.0	755
SLC25A34	1381.0	612.0	3129
SLC25A34-AS1	639.0	639.0	639
TMEM82	1070.0	1070.0	1443
FBLIM1	1054.6	577.0	3498
RPL12P14	490.0	490.0	490
UQCRHL	2180.0	2180.0	2180
AL450998.1	438.0	438.0	438
AL450998.2	2473.0	2473.0	2473
SPEN	3346.5	1568.5	12385
AL034555.1	211.0	211.0	211
ZBTB17	1065.6875	753.5	2770
AL355994.4	563.0	563.0	563
AL355994.1	260.0	260.0	260
AL355994.5	236.0	236.0	236
TBC1D3P6	962.0	962.0	962
SRARP	3039.0	3039.0	3039
AL355994.3	466.0	466.0	466
HSPB7	1744.2857142857142	2128.0	2892
CLCNKA	1725.7142857142858	1997.0	3060
AL355994.2	704.0	704.0	704
CLCNKB	1676.0	1836.5	2567
FAM131C	1397.5	1397.5	1720
EPHA2	1513.5	835.0	3946
AL451042.2	904.0	904.0	904
AL451042.1	544.0	544.0	544
ARHGEF19-AS1	439.0	439.0	439
ARHGEF19	1366.3333333333333	803.0	3322
ANO7L1	801.0	355.0	1720
AL109627.1	2662.0	2662.0	2662
CPLANE2	955.0	955.0	1574
MT1XP1	186.0	186.0	186
FBXO42	2811.25	2036.5	6227
SZRD1	1504.3	817.0	3480
RPL22P3	381.0	381.0	381
SPATA21	1634.5	1454.5	3619
NECAP2	1339.0833333333333	851.5	4619
LINC01772	3245.0	3245.0	3245
CROCCP3	1915.6666666666667	1629.0	5368
RNU1-1	164.0	164.0	164
AL137802.2	1110.0	1110.0	1110
AL137802.3	1558.0	1558.0	1558
AL137802.1	327.0	327.0	327
LINC01783	1188.0	1188.0	1548
RNU1-6P	144.0	144.0	144
AL355149.1	882.0	882.0	882
NBPF1	3174.5714285714284	2755.0	5932
AL137798.1	339.0	339.0	339
CROCCP2	2071.714285714286	2029.0	2773
AL137798.3	166.0	166.0	166
MST1P2	2291.0	2291.0	2291
AL137798.2	817.0	817.0	817
RNU1-3	164.0	164.0	164
AL021920.2	1351.0	1351.0	1351
EIF1AXP1	435.0	435.0	435
ESPNP	1811.6666666666667	1171.0	3693
AL021920.1	406.0	406.0	406
AL021920.3	819.0	819.0	819
CROCC	1760.2307692307693	780.0	6660
CROCCP4	535.5	535.5	573
RNU1-4	164.0	164.0	164
MST1L	2031.1666666666667	1928.5	3995
BX284668.1	644.5	644.5	735
BX284668.3	882.0	882.0	882
MIR3675	73.0	73.0	73
BX284668.2	1125.4	1038.0	2520
RNU1-5P	144.0	144.0	144
BX284668.5	765.5714285714286	527.0	1512
BX284668.4	508.0	508.0	508
RNU1-2	164.0	164.0	164
BX284668.6	438.0	438.0	438
MFAP2	1044.6666666666667	825.5	2371
AL049569.2	385.0	385.0	385
AL049569.1	636.0	636.0	636
ATP13A2	1556.0666666666666	962.0	3996
SDHB	684.5	674.0	1015
PADI2	2992.25	3000.5	4361
LINC02783	2633.0	2633.0	4676
AL590644.1	1228.0	1228.0	1228
PADI1	2430.0	2680.5	3846
PADI3	3189.0	3189.0	3189
MIR3972	87.0	87.0	87
PADI4	893.0	513.0	2267
PADI6	2396.0	2396.0	2396
RCC2	2284.3333333333335	2030.0	4040
RCC2-AS1	311.0	311.0	311
ARHGEF10L	2648.222222222222	3018.0	4625
LINC02810	819.5	821.5	1025
ACTL8	1755.5	1755.5	1841
AL357509.1	2013.0	2013.0	2013
LINC01654	2471.0	2471.0	2471
IGSF21	1316.75	1407.5	1892
AL365209.1	6473.0	6473.0	6473
IGSF21-AS1	430.0	430.0	430
AL591896.1	491.0	491.0	491
KLHDC7A	5145.0	5145.0	5145
DYNLL1P3	266.0	266.0	266
AL031737.1	223.0	223.0	223
PAX7	3391.0	2260.0	6213
TAS1R2	2542.0	2542.0	2542
ALDH4A1	1914.8333333333333	2032.0	3139
MIR4695	74.0	74.0	74
MIR1290	78.0	78.0	78
IFFO2	2572.0	1000.0	6179
AL137127.1	3402.0	3402.0	3402
UBR4	2828.4117647058824	891.0	15892
EMC1-AS1	507.0	507.0	507
EMC1	2060.6153846153848	589.0	6640
MRTO4	1012.0	578.0	2049
AL035413.2	339.0	339.0	339
AKR7L	1215.6	1240.0	1984
AKR7A3	1215.0	1215.0	1215
AL035413.1	525.0	525.0	525
AKR7A2	947.0	989.0	1362
RNU6-1099P	107.0	107.0	107
SLC66A1	1552.0	1530.0	2175
CAPZB	1179.7777777777778	1462.0	2068
RN7SL277P	288.0	288.0	288
MICOS10	1133.8181818181818	655.0	3723
RNU4-28P	141.0	141.0	141
AL031727.2	207.0	207.0	207
NBL1	1311.357142857143	1177.0	2172
MICOS10-NBL1	803.0	820.0	999
AL031727.1	455.0	455.0	455
HTR6	3800.0	3800.0	3800
TMCO4	1347.0	977.0	2974
RNF186	1255.0	1255.0	1255
AL391883.1	447.0	447.0	447
OTUD3	2416.3333333333335	465.0	6515
PLA2G2E	785.0	785.0	785
RN7SL304P	301.0	301.0	301
PLA2G2A	893.125	887.0	1306
PLA2G5	1202.0	1028.0	1918
PLA2G2D	2253.5	2253.5	2651
PLA2G2F	3426.0	3426.0	4129
Z98257.1	1480.0	1172.0	2493
PLA2G2C	1356.6666666666667	453.0	3249
UBXN10-AS1	510.0	510.0	510
UBXN10	5562.0	5562.0	5562
LINC01757	550.5	550.5	621
Z98257.2	1189.5	1189.5	1548
VWA5B1	2605.125	2920.5	4475
AL020998.1	229.0	229.0	229
LINC01141	1116.2727272727273	1002.0	2993
AL139254.1	376.0	376.0	376
AL139254.2	1071.0	1071.0	1156
AL139254.3	674.0	674.0	674
CAMK2N1	1569.0	1569.0	2326
MUL1	2428.0	2428.0	2428
RPS4XP4	763.0	763.0	763
FAM43B	2448.0	2448.0	2448
CDA	785.5	785.5	809
PINK1	2712.0	2657.0	3821
MIR6084	110.0	110.0	110
PINK1-AS	4443.0	4443.0	4443
DDOST	1294.0	1364.5	2126
KIF17	1947.111111111111	1805.0	3969
AL663074.2	479.0	479.0	479
SH2D5	1829.857142857143	564.0	3898
AL663074.1	299.0	299.0	299
HP1BP3	1684.2142857142858	743.0	6406
EIF4G3	2706.0	1306.5	6196
RNU7-200P	62.0	62.0	62
MIR1256	119.0	119.0	119
RPS15AP6	385.0	385.0	385
AL627311.1	115.0	115.0	115
HSPE1P27	296.0	296.0	296
AL031005.2	1111.0	1111.0	1111
ECE1	2001.2142857142858	1423.0	5099
AL031005.1	723.0	723.0	723
ECE1-AS1	2202.0	2202.0	2479
PPP1R11P1	376.0	376.0	376
AL592309.1	649.0	649.0	649
AL592309.2	606.0	606.0	607
NBPF2P	661.0	661.0	661
HS6ST1P1	1234.0	1234.0	1234
CROCCP5	830.0	830.0	830
NBPF3	1853.2307692307693	1417.0	4401
PFN1P10	327.0	327.0	327
ALPL	1733.142857142857	2131.0	2536
LINC02596	821.0	821.0	821
RAP1GAP	2311.6153846153848	3238.0	4294
USP48	1661.1333333333334	680.0	4419
AL590103.1	307.0	307.0	307
LDLRAD2	2045.3333333333333	1180.0	4016
HSPG2	1834.6666666666667	708.0	14341
AL590556.1	483.0	483.0	483
AL590556.2	1003.0	1003.0	1162
CELA3B	689.75	701.5	996
AL590556.3	1140.5	1140.5	1469
RN7SL386P	297.0	297.0	297
RNU6-1022P	104.0	104.0	104
CELA3A	637.3333333333334	649.0	906
RN7SL186P	297.0	297.0	297
RNU6-776P	104.0	104.0	104
LINC01635	1041.0	1037.0	1470
LINC00339	1042.6153846153845	1077.0	1518
CDC42	3242.4545454545455	1645.0	10598
CDC42-AS1	2574.0	2574.0	2574
AL031281.2	222.0	222.0	222
CDC42-IT1	692.0	692.0	692
AL031281.1	488.0	488.0	488
WNT4	1710.0	680.0	3968
AL445253.1	811.0	811.0	811
MIR4418	62.0	62.0	62
PPIAP34	492.0	492.0	492
AL591122.1	1853.0	1853.0	1853
ZBTB40	5983.2	8368.0	8992
ZBTB40-IT1	273.0	273.0	273
EPHA8	3410.5	3410.5	5019
MIR6127	109.0	109.0	109
C1QA	945.0	976.0	1091
C1QC	1143.3333333333333	1158.0	1183
